time,left_ticks,right_ticks
0.000000,7678,7678
0.010000,7679,7678
0.020000,7679,7678
0.030000,7679,7678
0.040000,7679,7678
0.050000,7679,7678
0.060000,7679,7678
0.070000,7680,7677
0.080000,7680,7677
0.090000,7681,7676
0.100000,7682,7675
0.110000,7682,7675
0.120000,7683,7674
0.130000,7685,7672
0.140000,7686,7671
0.150000,7687,7670
0.160000,7689,7668
0.170000,7691,7666
0.180000,7693,7664
0.190000,7695,7662
0.200000,7697,7660
0.210000,7700,7658
0.220000,7703,7655
0.230000,7706,7652
0.240000,7709,7649
0.250000,7712,7646
0.260000,7716,7643
0.270000,7719,7639
0.280000,7723,7635
0.290000,7728,7632
0.300000,7732,7628
0.310000,7737,7623
0.320000,7741,7619
0.330000,7746,7615
0.340000,7752,7610
0.350000,7757,7605
0.360000,7763,7600
0.370000,7768,7595
0.380000,7775,7590
0.390000,7781,7585
0.400000,7787,7580
0.410000,7794,7574
0.420000,7801,7569
0.430000,7808,7563
0.440000,7815,7557
0.450000,7822,7552
0.460000,7830,7546
0.470000,7837,7540
0.480000,7845,7534
0.490000,7853,7528
0.500000,7862,7522
0.510000,7870,7516
0.520000,7878,7510
0.530000,7887,7504
0.540000,7896,7498
0.550000,7904,7492
0.560000,7913,7486
0.570000,7922,7480
0.580000,7931,7474
0.590000,7941,7468
0.600000,7950,7463
0.610000,7959,7457
0.620000,7968,7451
0.630000,7978,7445
0.640000,7987,7440
0.650000,7997,7434
0.660000,8006,7429
0.670000,8016,7423
0.680000,8025,7418
0.690000,8034,7413
0.700000,8044,7408
0.710000,8053,7403
0.720000,8062,7398
0.730000,8071,7393
0.740000,8081,7389
0.750000,8090,7384
0.760000,8099,7380
0.770000,8107,7375
0.780000,8116,7371
0.790000,8125,7367
0.800000,8133,7363
0.810000,8141,7360
0.820000,8149,7356
0.830000,8157,7352
0.840000,8165,7349
0.850000,8173,7346
0.860000,8180,7342
0.870000,8187,7339
0.880000,8194,7336
0.890000,8201,7334
0.900000,8208,7331
0.910000,8214,7329
0.920000,8220,7326
0.930000,8226,7324
0.940000,8231,7322
0.950000,8237,7320
0.960000,8242,7318
0.970000,8246,7316
0.980000,8251,7314
0.990000,8255,7312
1.000000,8259,7311
1.010000,8263,7310
1.020000,8267,7308
1.030000,8270,7307
1.040000,8273,7306
1.050000,8276,7305
1.060000,8278,7304
1.070000,8281,7303
1.080000,8283,7303
1.090000,8285,7302
1.100000,8286,7301
1.110000,8288,7301
1.120000,8289,7300
1.130000,8290,7300
1.140000,8291,7300
1.150000,8292,7299
1.160000,8292,7299
1.170000,8293,7299
1.180000,8293,7299
1.190000,8293,7299
1.200000,8293,7299
1.210000,8293,7299
1.220000,8293,7299
1.230000,8293,7299
1.240000,8293,7299
1.250000,8293,7299
1.260000,8293,7299
1.270000,8293,7299
1.280000,8293,7299
1.290000,8294,7299
1.300000,8294,7299
1.310000,8294,7299
1.320000,8294,7299
1.330000,8294,7299
1.340000,8294,7299
1.350000,8294,7300
1.360000,8294,7300
1.370000,8294,7300
1.380000,8295,7300
1.390000,8295,7300
1.400000,8295,7301
1.410000,8295,7301
1.420000,8296,7301
1.430000,8296,7302
1.440000,8297,7302
1.450000,8297,7303
1.460000,8297,7303
1.470000,8298,7304
1.480000,8299,7305
1.490000,8299,7305
