t,tick_left,tick_right
0.00,28796,28796
0.01,28796,28796
0.02,28796,28796
0.03,28796,28795
0.04,28796,28795
0.05,28797,28795
0.06,28798,28794
0.07,28799,28793
0.08,28800,28791
0.09,28802,28789
0.10,28804,28787
0.11,28807,28784
0.12,28810,28781
0.13,28814,28777
0.14,28819,28773
0.15,28823,28768
0.16,28829,28763
0.17,28835,28757
0.18,28842,28750
0.19,28849,28743
0.20,28858,28735
0.21,28866,28726
0.22,28876,28717
0.23,28886,28707
0.24,28897,28697
0.25,28909,28685
0.26,28922,28674
0.27,28935,28661
0.28,28949,28648
0.29,28964,28634
0.30,28980,28620
0.31,28996,28605
0.32,29013,28589
0.33,29031,28573
0.34,29050,28556
0.35,29070,28539
0.36,29090,28521
0.37,29111,28503
0.38,29133,28484
0.39,29156,28465
0.40,29179,28445
0.41,29203,28425
0.42,29228,28405
0.43,29254,28384
0.44,29280,28363
0.45,29307,28342
0.46,29335,28320
0.47,29363,28298
0.48,29392,28276
0.49,29421,28254
0.50,29452,28232
0.51,29482,28210
0.52,29513,28187
0.53,29545,28164
0.54,29577,28142
0.55,29610,28119
0.56,29643,28097
0.57,29676,28074
0.58,29710,28052
0.59,29744,28030
0.60,29778,28008
0.61,29813,27986
0.62,29848,27964
0.63,29883,27943
0.64,29918,27921
0.65,29953,27900
0.66,29989,27880
0.67,30024,27859
0.68,30060,27839
0.69,30095,27819
0.70,30130,27800
0.71,30165,27781
0.72,30200,27762
0.73,30235,27744
0.74,30269,27726
0.75,30304,27709
0.76,30337,27692
0.77,30371,27675
0.78,30404,27659
0.79,30437,27644
0.80,30469,27628
0.81,30500,27614
0.82,30531,27600
0.83,30562,27586
0.84,30592,27573
0.85,30621,27560
0.86,30649,27547
0.87,30677,27536
0.88,30704,27524
0.89,30730,27513
0.90,30755,27503
0.91,30780,27493
0.92,30803,27483
0.93,30826,27474
0.94,30848,27466
0.95,30869,27457
0.96,30889,27450
0.97,30908,27442
0.98,30926,27436
0.99,30943,27429
1.00,30959,27423
